2026-07-17 09:39:38,762 [INFO] [VERIFY-ECONOMY] 丛雪薇: standard=moderate, deposit 320 → 120, material +0
2026-07-17 09:39:38,762 [INFO] [VERIFY-ECONOMY] 刘世刚: standard=moderate, deposit 4200 → 4000, material +0
2026-07-17 09:39:38,767 [INFO] [VERIFY-ECONOMY] 刘铭: standard=frugal, deposit 255 → 155, material -5
2026-07-17 09:39:38,772 [INFO] [VERIFY-ECONOMY] 刘凡: standard=moderate, deposit 10350 → 10150, material +0
2026-07-17 09:39:38,777 [INFO] [VERIFY-ECONOMY] 吕谦: standard=moderate, deposit 2967 → 2767, material +0
2026-07-17 09:39:38,778 [INFO] [VERIFY-ECONOMY] 周悠: standard=moderate, deposit 418 → 218, material +0
2026-07-17 09:39:38,778 [INFO] [VERIFY-ECONOMY] 何敏: standard=moderate, deposit 320 → 120, material +0
2026-07-17 09:39:38,779 [INFO] [VERIFY-ECONOMY] 周原: standard=moderate, deposit 415 → 215, material +0
2026-07-17 09:39:38,798 [INFO] [VERIFY-ECONOMY] 叶: standard=comfortable, deposit 415 → 115, material +5
2026-07-17 09:39:38,801 [INFO] [VERIFY-ECONOMY] 君: standard=moderate, deposit 950 → 750, material +0
2026-07-17 09:57:36,255 [INFO] [VERIFY-ECONOMY] 刘世刚: standard=moderate, deposit 4200 → 4000, material +0
2026-07-17 09:57:36,255 [INFO] [VERIFY-ECONOMY] 刘世刚: standard=moderate, deposit 4200 → 4000, material +0
2026-07-17 09:57:36,256 [INFO] [VERIFY-ECONOMY] 刘凡: standard=moderate, deposit 10350 → 10150, material +0
2026-07-17 09:57:36,256 [INFO] [VERIFY-ECONOMY] 刘凡: standard=moderate, deposit 10350 → 10150, material +0
2026-07-17 09:57:36,257 [INFO] [VERIFY-ECONOMY] 刘铭: standard=frugal, deposit 255 → 155, material -5
2026-07-17 09:57:36,257 [INFO] [VERIFY-ECONOMY] 刘铭: standard=frugal, deposit 255 → 155, material -5
2026-07-17 09:57:36,257 [INFO] [VERIFY-ECONOMY] 丛雪薇: standard=moderate, deposit 320 → 120, material +0
2026-07-17 09:57:36,257 [INFO] [VERIFY-ECONOMY] 丛雪薇: standard=moderate, deposit 320 → 120, material +0
2026-07-17 09:57:36,259 [INFO] [VERIFY-ECONOMY] 周悠: standard=moderate, deposit 418 → 218, material +0
2026-07-17 09:57:36,259 [INFO] [VERIFY-ECONOMY] 周悠: standard=moderate, deposit 418 → 218, material +0
2026-07-17 09:57:36,262 [INFO] [VERIFY-ECONOMY] 吕谦: standard=moderate, deposit 2967 → 2767, material +0
2026-07-17 09:57:36,262 [INFO] [VERIFY-ECONOMY] 吕谦: standard=moderate, deposit 2967 → 2767, material +0
2026-07-17 09:57:36,263 [INFO] [VERIFY-ECONOMY] 何敏: standard=moderate, deposit 320 → 120, material +0
2026-07-17 09:57:36,263 [INFO] [VERIFY-ECONOMY] 何敏: standard=moderate, deposit 320 → 120, material +0
2026-07-17 09:57:36,263 [INFO] [VERIFY-ECONOMY] 周原: standard=moderate, deposit 415 → 215, material +0
2026-07-17 09:57:36,263 [INFO] [VERIFY-ECONOMY] 周原: standard=moderate, deposit 415 → 215, material +0
2026-07-17 09:57:36,279 [INFO] [VERIFY-ECONOMY] 君: standard=moderate, deposit 950 → 750, material +0
2026-07-17 09:57:36,279 [INFO] [VERIFY-ECONOMY] 君: standard=moderate, deposit 950 → 750, material +0
2026-07-17 09:57:36,282 [INFO] [VERIFY-ECONOMY] 叶: standard=comfortable, deposit 415 → 115, material +5
2026-07-17 09:57:36,282 [INFO] [VERIFY-ECONOMY] 叶: standard=comfortable, deposit 415 → 115, material +5
